Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
145,NCT00582647,,Observational,Sarcoma|Neoplasms|Bile Duct Neoplasms|Soft Tissue Neoplasms,"To obtain & store tissues, blood, peritoneal, pleural, cyst & other gastrointestinal fluid from patients with benign or malignant tumors in order to carry out future laboratory studies on the causes, prevention, diagnosis & treatment of certain cancers.",Adult|Older Adult,,,,,,Memorial Sloan Kettering Cancer Center,OTHER,,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),NIH,"Doctors at Memorial Sloan Kettering Cancer Center and at other institutions study normal and cancer cells. To study these cells we need to have human tissue, body fluids, and blood. The patient will be having or have had a procedure to remove tissue. The doctors would like to use some of this tissue. The doctors will use it for laboratory studies on the causes, prevention, diagnosis and treatment of sarcoma, gastrointestinal or other intra-abdominal cancers. They will only use extra tissue left over after all needed testing has been done. They would also like to study components of the immune blood cells and blood serum (the liquid portion of the blood). In some patients they will take a blood sample before the tissue or body fluid is removed, usually at the same time that other routine pre-procedure blood tests are drawn. If thet need more blood, it will be drawn when the patient is seeing the doctor anyway. We will not draw more than 50cc (4-5 tablespoons) at any one time. With the patient's permission, thet may also send a small portion of the blood and/or a sample of the tissue to a repository at the National Cancer Institute. This will be used to identify special proteins in the blood or tissue that may be useful for diagnosing cancer. Information about the treatment and the response to treatment may be linked to the tissue specimens obtained. This information may be important for the research studies that will be done on the tissue, body fluid and blood specimens. All of this information will be kept in strictest confidence; they will use it only for biomedical research. The patient's name will not be used in any report."
146,NCT04826952,,Observational,Testicular Neoplasms,The 1- and 5-year overall survival rates,Child|Adult,Procedure,Orchiectomy,,,,Chang Gung Memorial Hospital,OTHER,,,,,"Background and Objectives. Testicular neoplasms are not commonly found in children, a formidable threat if treated inappropriately. However, there is no consensus concerning their management. The study aimed to present a holistic picture of the integrated treatment of malignant testicular tumors based on our 12 years' experience.||Patients and Methods. This institutional-based retrospective cohort study evaluated clinical presentation, histopathologic diagnosis, treatment, and outcome in 42 boys with malignant neoplasm of testis treated between 2006 and 2019."
147,NCT00401024,Phase 1,Interventional,Glioma|Nervous System Neoplasms|Central Nervous System Neoplasms,Tumor:plasma concentration ratio of imatinib mesylate,Adult|Older Adult,Drug|Other|Procedure,imatinib mesylate|pharmacological study|conventional surgery,,Imatinib Mesylate,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,National Cancer Institute (NCI),NIH,RATIONALE: Collecting samples of tumor tissue and blood from patients with cancer to study in the laboratory may help doctors learn how patients respond to treatment.||PURPOSE: This clinical trial is looking at tumor tissue samples from patients receiving imatinib mesylate for malignant glioma to see how much imatinib mesylate is found in the tumor tissue.
148,NCT01433224,,Observational,"Neoplasms|Neoplasms, Germ Cell and Embryonal",Event-free survival|Genomic prognostic signatures associated with GCTS|Genetic variants that contribute to GCTS pathogenesis|Expression of various forms of RNA,Child|Adult|Older Adult,Genetic|Genetic|Genetic|Genetic|Genetic|Genetic|Other|Other,DNA methylation analysis|RNA analysis|mutation analysis|nucleic acid sequencing|polymerase chain reaction|polymorphism analysis|laboratory biomarker analysis|medical chart review,,,,Children's Oncology Group,NETWORK,,Simmons Cancer Center,National Cancer Institute (NCI),NIH,RATIONALE: Studying samples of blood and tissue from patients with cancer in the laboratory may help doctors learn more about changes that occur in DNA and identify biomarkers related to cancer. It may also help doctors find better ways to treat cancer.||PURPOSE: This research trial studies samples from younger patients with malignant germ cell tumor progression.
149,NCT03430882,Phase 1,Interventional,Neoplasms,Incidence and grade of adverse events graded according to National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v.) 4.03|Maximum tolerate dose (MTD) as defined by dose limiting toxicity (DLT)|Death during the study|Withdrawals due to adverse events|Change in treatment regimen due to adverse events|Recommended phase 2 dose (RP2D),Adult|Older Adult,Drug|Drug|Drug,Carboplatin|Paclitaxel|Sapanisertib,Blastocarb|Carboplat|Carboplatin Hexal|Carboplatino|Carboplatinum|Carbosin|Carbosol|Carbotec|CBDCA|Displata|Ercar|JM-8|Nealorin|Novoplatinum|Paraplatin|Paraplatin AQ|Paraplatine|Platinwas|Ribocarbo|Anzatax|Asotax|Bristaxol|Praxel|Taxol|Taxol Konzentrat|INK-128|INK128|MLN-0128|MLN0128|TAK-228,Paclitaxel|Carboplatin|Albumin-Bound Paclitaxel,"Antineoplastic Agents, Phytogenic|Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action",M.D. Anderson Cancer Center,OTHER,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),NIH,"This phase I trial studies the sides effects and best dose of sapanisertib, carboplatin, and paclitaxel in treating patients with malignant solid tumors that have come back (recurrent) or do not respond to treatment (refractory). Sapanisertib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as carboplatin and paclitaxel, work in different ways to stop the growth of tumor cells, either by killing cells, by stopping them from dividing, or by stopping them from spreading. Giving sapanisertib, carboplatin, and paclitaxel may work better in treating patients with malignant solid tumors."
150,NCT00195325,Phase 1,Interventional,Neoplasms,"To determine safety, tolerability, and MTD of TTI-237 - patients are monitored during the duration of their participation on the trial.",Adult|Older Adult,Drug,TTI-237,,,,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,,Wyeth is now a wholly owned subsidiary of Pfizer,,,"The purpose of this study is to evaluate the safety, tolerability, and MTD (maximum tolerated dose) of TTI-237 for the treatment of subjects with advanced malignant solid tumors."
151,NCT00068367,Phase 2,Interventional,Sarcoma|Nerve Sheath Neoplasms|Neurofibrosarcoma,"Patients With Response (Confirmed Complete, and Partial) With Unresectable or Metastatic Malignant Peripheral Nerve Sheath Tumor When Treated With Erlotinib.",Adult|Older Adult,Drug,erlotinib hydrochloride,OSI-774,Erlotinib Hydrochloride,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action,SWOG Cancer Research Network,NETWORK,,Dana-Farber Cancer Institute|University of Utah|University of Michigan Rogel Cancer Center,National Cancer Institute (NCI),NIH,RATIONALE: Erlotinib may stop the growth of tumor cells by blocking the enzymes necessary for tumor cell growth.||PURPOSE: This phase II trial is studying how well erlotinib works in treating patients with unresectable or metastatic malignant peripheral nerve sheath tumor.
152,NCT05420558,,Observational,Neoplasms|Gastrointestinal Neoplasms|Digestive System Neoplasms,early postoperative recurrence,Adult|Older Adult,Diagnostic Test,Fibroblast activation protein inhibitor PET/CT imaging,,,,Zhongnan Hospital,OTHER,,Wuhan University,,,The purpose of this single center prospective study is to assess the value of FAPI PET imaging in predicting early postoperative recurrence of malignant tumor of digestive system and to evaluate the diagnostic performance of FAPI PET/CT in the detection of primary tumor and metastatic lesions.
153,NCT00111696,Phase 1,Interventional,Melanoma,The primary outcome of this study is to describe the tumor tissue saturation by MEDI-522 in patients with advanced malignant melanoma.,Adult|Older Adult,Biological,MEDI-522,,,,MedImmune LLC,INDUSTRY,,University of Pittsburgh,,,To describe the tumor tissue saturation by MEDI-522 in patients with advanced malignant melanoma.
154,NCT04296994,Phase 1,Interventional,Neoplasms,Safety and tolerability,Adult|Older Adult,Biological,QL1706,PSB205,,,"Qilu Pharmaceutical Co., Ltd.",INDUSTRY,,Sun Yat-sen University,,,"This is an open-label, multicenter, Phase 1, ascending dose escalation study of QL1706 in subjects with advanced malignant tumor. The study will be conducted in 2 parts. Part 1 of the study will be a dose escalation evaluation to determine the maximum tolerated dose (MTD) and to establish a recommended Phase 2 dose (RP2D) of QL1706. This study purpose is to describe the safety and tolerability, to assess Pharmacokinetics (PK) and immunogenicity, and to preliminarily assess the anti-tumor activity of QL1706 in subjects with advanced malignant tumor. Part 2 of the study will further characterize the PK parameters for QL1706 in subjects with advanced malignant tumor."
155,NCT04263688,,Observational,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Pleural Effusion, Malignant|Pleural Effusion",Objective response rate (ORR) of NSCLC patients with malignant pleural effusion who were received immunotherapy|Progression-free survival (PFS) of NSCLC patients with malignant pleural effusion who were received immunotherapy|Overall survival (OS) of NSCLC patients with malignant pleural effusion who were received immunotherapy,Adult|Older Adult,Other,Non-Intervention,,,,Guangzhou Institute of Respiratory Disease,OTHER,Guangzhou Institute of Respiratory Disease,,,,Multicenter observational study for correlation between tumor mutation burden and immunotherapy efficacy of advanced non-small cell lung cancer with malignant pleural effusion
156,NCT03387020,Phase 1,Interventional,Neoplasms|Glioma|Brain Neoplasms|Ependymoma|Medulloblastoma|Diffuse Intrinsic Pontine Glioma|Rhabdoid Tumor|Recurrence,Maximum Tolerated Dose of Ribociclib and Everolimus|Average Tumor and Plasma Concentrations of Ribociclib for the Surgical Study,Child|Adult,Drug|Other|Other|Drug,Everolimus|Laboratory Biomarker Analysis|Pharmacological Study|Ribociclib,42-O-(2-Hydroxy)ethyl Rapamycin|Afinitor|Certican|RAD 001|RAD001|Votubia|Zortress|Kisqali|LEE-011|LEE011,Everolimus,Antineoplastic Agents|Immunosuppressive Agents|Immunologic Factors|Physiological Effects of Drugs,Pediatric Brain Tumor Consortium,NETWORK,,Pediatric Brain Tumor Consortium,National Cancer Institute (NCI),NIH,"This phase I trial studies the side effects and best dose of ribociclib and everolimus and to see how well they work in treating patients with malignant brain tumors that have come back or do not respond to treatment. Ribociclib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as everolimus, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving ribociclib and everolimus may work better at treating malignant brain tumors."
157,NCT03383692,Phase 1,Interventional,Neoplasm Metastasis|Neoplasms,Pharmacokinetic Parameter of Maximum (Peak) Observed Serum Concentration (Cmax) Following Treatment With DS-8201a and Ritonavir - Cohort 1|Pharmacokinetic Parameter of Maximum (Peak) Observed Serum Concentration (Cmax) For MAAA-1181a Following Treatment With DS-8201a and Ritonavir - Cohort 1|Pharmacokinetic Parameter of Area Under the Serum Concentration-time Curve Following Treatment With DS-8201a and Ritonavir - Cohort 1|Pharmacokinetic Parameter of Area Under the Serum Concentration-time Curve of MAAA-1181a Following Treatment With DS-8201a and Ritonavir - Cohort 1|Pharmacokinetic Parameter of Maximum (Peak) Observed Serum Concentration (Cmax) Following Treatment With DS-8201a and Itraconazole - Cohort 2|Pharmacokinetic Parameter of Maximum (Peak) Observed Serum Concentration (Cmax) of MAAA-1181a Following Treatment With DS-8201a and Itraconazole - Cohort 2|Pharmacokinetic Parameter of Area Under the Serum Concentration-time Curve Following Treatment With DS-8201a and Itraconazole - Cohort 2|Pharmacokinetic Parameter of Area Under the Serum Concentration-time Curve of MAAA-1181a Following Treatment With DS-8201a and Itraconazole - Cohort 2,Adult|Older Adult,Drug|Drug|Drug,DS-8201a|Ritonavir|Itraconazole,Norvir|Sporanox|Orungal,Ritonavir|Itraconazole,"HIV Protease Inhibitors|Viral Protease Inhibitors|Protease Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action|Anti-HIV Agents|Anti-Retroviral Agents|Antiviral Agents|Anti-Infective Agents|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Antifungal Agents|14-alpha Demethylase Inhibitors|Steroid Synthesis Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Physiological Effects of Drugs","Daiichi Sankyo Co., Ltd.",INDUSTRY,,"Daiichi Sankyo, Inc.",AstraZeneca,INDUSTRY,HER2-positive cancer is a cancer that tests positive for a protein called human epidermal growth factor receptor 2 (HER2). HER2 promotes the growth of certain cancer cells. This study will test an experimental drug called DS-8201a that has not been approved by the health authorities yet.||DS-8201a will be tested for safety in patients with advanced solid malignant tumors that test positive for HER2. It also will test how DS-8201a moves within the body (pharmacokinetics).
158,NCT01494324,Not Applicable,Interventional,Liver Neoplasms,Tumor response,Adult|Older Adult,Other,CT guided percutaneous ablation,"Follow-up will continue at approximate 2-4 months intervals (+/- 2 weeks) with CT, to evaluate for local tumor progression (LTP) for the following 3 years.",,,Memorial Sloan Kettering Cancer Center,OTHER,,Memorial Sloan Kettering Cancer Center,Rockefeller University,OTHER,"The purpose of this study is to see if the investigators can do some tests on tissue from the area of the ablation. The investigators want to know if a test can help predict whether the ablation worked.||The treated tumor is normally evaluated with CT. The CT shows signs of treated tumor(s) in the area treated by ablation. However, cancer cells may begin to grow in or near the treated area. The CT scan cannot tell us if the cells are new cancer cells or if they are healthy liver cells that just look different because of the ablation. The test the investigators will study should be able to tell us the difference."
159,NCT00103038,Not Applicable,Interventional,Neoplasms|Glioma,Utility of Femumoxytol and Gadolinium Based Contrast Agents for Improved Imaging Biomarkers of Malignant Brain Tumors in a Single Session by Comparing Dynamic Contrast Enhanced Determined Vascular Permeability (Ktrans)|Utility of Ferumoxytol and Gadolinium Based Contrast Agents for Improved Imaging Biomarkers of Malignant Brain Tumors in a Single Imaging Session by Comparing Dynamic Susceptibility Contrast (DSC) Determined Relative Cerebral Blood Volume (rCBV) Maps.,Adult|Older Adult,Procedure|Procedure|Procedure|Drug|Drug|Procedure,3 Tesla Magnetic Resonance Imaging|Dynamic Contrast-Enhanced Magnetic Resonance Imaging|Dynamic Susceptibility Contrast-Enhanced Magnetic Resonance Imaging|Ferumoxytol|Gadolinium|MRI-Based Angiogram,3 Tesla MRI|3T MRI|DCE MRI|DCE-MRI|DYNAMIC CONTRAST ENHANCED MRI|Dynamic Susceptibility Contrast-Enhanced MRI|Feraheme|FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE|Gd|Magnetic Resonance Angiogram|MRA,Ferrosoferric Oxide,Hematinics|Parenteral Nutrition Solutions|Pharmaceutical Solutions,OHSU Knight Cancer Institute,OTHER,OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,National Cancer Institute (NCI),NIH,"This clinical trial studies magnetic resonance imaging (MRI) using a contrast imaging agent ferumoxytol (ferumoxytol non-stoichiometric magnetite) in improving viewing tumors in patients with high-grade brain tumors or cancer that has spread to the brain. Diagnostic procedures, such as MRI, may help find and diagnose brain tumors and find out how far the disease has spread. The contrast imaging agent ferumoxytol non-stoichiometric magnetite consists of small iron particles taken by the blood stream to the brain and to the area of the tumor. It may help visualize the blood flow going through the tumor better than the standard substance gadolinium-based contrast agent."
160,NCT02192567,Phase 1,Interventional,Neoplasms,Number of subjects experiencing dose limiting toxicities|Number of subjects experiencing adverse events|Pharmacokinetic profile of DS-5573a,Adult|Older Adult,Drug,DS-5573a,,,,"Daiichi Sankyo Co., Ltd.",INDUSTRY,,National Cancer Center Hospital,,,"This is an open-label, sequential dose escalation and expansion study to evaluate the safety, and pharmacokinetics of DS-5573a in Japanese patients with advanced solid malignant tumors."
161,NCT01290471,Phase 1,Interventional,Neoplasms,Number (percent) of subjects experiencing adverse events (AEs) after treatment with U3-1565,Adult|Older Adult,Drug,U3-1565,,U3-1565,"Antineoplastic Agents, Immunological|Antineoplastic Agents","Daiichi Sankyo, Inc.",INDUSTRY,,"Daiichi Sankyo, Inc.",,,"This is a Phase 1, open label study to assess the safety and tolerability of U3 1565, determine maximum tolerated dose (MTD) or establish maximum administered dose (MAD) safety and tolerability."
162,NCT01713972,Phase 1,Interventional,Neoplasms,"Incidence of adverse events using Common Terminology Criteria for Adverse Events (CTCAE) v4|Maximum tolerated dose, defined as the dose below the dose where at least 2 dose limiting toxicities (DLTs) are observed, graded using CTCAE v4",Adult|Older Adult,Drug|Drug|Other,dabrafenib|pazopanib hydrochloride|Correlative studies,BRAF inhibitor GSK2118436|GSK2118436|GW786034B|Votrient|Pharmacokinetic studies|Pharmacogenomic studies|Tumor genotyping|BRAF mutation quantification,Dabrafenib,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action,Manisha Shah,OTHER,Ohio State University Comprehensive Cancer Center,Ohio State University,National Comprehensive Cancer Network,NETWORK,This phase I trial studies the side effects and best dose of dabrafenib and pazopanib hydrochloride when given together in treating patients with advanced malignant tumors. Dabrafenib and pazopanib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth
163,NCT04691349,Early Phase 1,Interventional,Neoplasms,ORR3,Child|Adult,Drug,CAR-T,,,,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",INDUSTRY,,,,,This study is a clinical study of CAR-T treatment of patients with relapsed/refractory malignant tumors in children. The purpose is to evaluate the safety and effectiveness of chimeric antigen receptor T cells in the treatment of relapsed/refractory malignant tumors in children.
164,NCT04996732,,Observational,Neoplasms,Overall survival,Child|Adult|Older Adult,Procedure,hospitalization,,,,Fudan University,OTHER,Fudan University,,,,Real-world studies on long-term prognosis in patients who underwent anti-tumor treatments during hospitalization from a hospital-based cancer registry in china.
165,NCT01950572,,Observational,"Neoplasms|Mesothelioma|Mesothelioma, Malignant|Pancreatic Neoplasms|Stomach Neoplasms|Thymoma|Biliary Tract Neoplasms",sample aquisition,Child|Adult|Older Adult,,,,,,National Cancer Institute (NCI),NIH,,National Cancer Institute (NCI),,,"Background:||Malignant mesothelioma is a malignancy arising from the mesothelial cells of the pleura, peritoneum, pericardium, or tunica vaginalis.|Mesothelioma accounts for 0.10% of deaths annually in the United States. Malignant pleural mesothelioma is the most common of these, comprising of 80% of the cases with an annual incidence of about 2,500 in the United States.|The median survival from diagnosis of pleural mesothelioma is approximately 12 months. The majority of patients present with stage III or IV disease with 85-90% of patients considered unresectable at diagnosis.|Peritoneal mesothelioma has a better prognosis than pleural mesothelioma; nevertheless, patients undergoing therapy for peritoneal mesothelioma have few well-studied treatment options due in large part to the rarity of the disease.||Objectives:||-To allow sample acquisition for use in the study of mesothelioma.||Eligibility:||All patients age greater than or equal to 2 years with malignant mesothelioma|Must be able and willing to provide informed consent if 18 or over; parent or guardian must be able and willing to provide consent for patients under the age of 18||Design:||Up to 1000 subjects will be enrolled.|Patients will be followed to determine the course of disease and to record any treatment received for mesothelioma.|Patients will undergo sampling of blood, urine, tumor and abnormal body fluids for tissue banking.|Studies which may be performed on banked material include genetic and genomic studies, establishment of cell cultures and immunologic studies."
166,NCT03983005,,Observational,Lung Neoplasms,Sensitivity and specificity of EUS-B-FNA in the detection of malignant pulmonary lesions,Adult|Older Adult,Procedure,EUS-B-FNA,Endoscopic ultrasound with bronchoscope fine needle aspiration,,,University of Milan,OTHER,University of Milan,"Respiratory Unit, ASST Santi Paolo e Carlo, San Paolo Hospital",,,"The aim of this study is to evaluate the diagnostic accuracy, safety and tolerability, predictors of success of EUS-B-FNA in the diagnosis of malignant parenchymal lung lesions.||The Investigators will also evaluated the adequacy of samples obtained for molecular analysis in patients with Non-Small Cell Lung Cancer (NSCLC)"
167,NCT01092247,Not Applicable,Interventional,Neoplasms,To study the effect of the ketogenic diet on tumor growth progression and longevity in patients with Malignant glioblastoma.,Adult|Older Adult,Other|Other,Nutritional support with Standard diet|Nutritional intervention with the Ketogenic diet,,,,Tel-Aviv Sourasky Medical Center,OTHER_GOV,,,Nutricia Liverpool,INDUSTRY,"The aim of the study is, to study the efficacy of the ketogenic diet in delaying or preventing recurrence and tumor growth progression of patients who have been previously treated by concomitant chemoradiotherapy (6 months) for high-grade glial tumors.||It will be an open-label trial of nutritional intervention for up to 1 year. An interim analysis of the data will be carried out to assess safety, compliance and efficacy of the diet. This will be reviewed by both SHS and the Clinical trial team."
168,NCT01694472,Phase 1,Interventional,Neoplasms,Objective response rate,Adult|Older Adult,Biological,MAGE-A4 TCR Gene-Modified T Cells,,,,Tianjin Medical University Cancer Institute and Hospital,OTHER,,,,,"The purpose of this study is to evaluate the clinical safety and preliminary efficacy of MAGE-A4 TCR Gene-Modified T lymphocytes in the treatment of malignant solid tumor patients, such as malignant melanoma and lung cancer."
169,NCT00189410,Phase 2,Interventional,"Neoplasms|Ovarian Neoplasms|Genital Neoplasms, Female|Uterine Neoplasms",Tolerance|Response Rate mainly in malignant uterine tumours,Adult|Older Adult,Drug,Pegylated Liposomal Doxorubicin and Carboplatin,,Carboplatin|Doxorubicin|Liposomal doxorubicin,"Antineoplastic Agents|Antibiotics, Antineoplastic|Topoisomerase II Inhibitors|Topoisomerase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action",AGO Study Group,OTHER,,"AGO-OVAR, AGO Ovarian Cancer Study Group","MedServ. GmbH, Wiesbaden|Essex Pharma GmbH",UNKNOWN|INDUSTRY,"Pegylated Liposomal Doxorubicin as well as Carboplatin have been showed efficacy in monotherapy as in combination therapy of gynaecologic tumours. As there is no common standard in the therapy of recurrent ovarian carcinoma, tumours of the uterus nor for non-epithelial ovarian tumours at time of designing of this study, this trial shall evaluate the new and well tolerated combination therapy consisting of Pegylated Liposomal Doxorubicin and Carboplatin."
170,NCT04016675,Not Applicable,Interventional,Neoplasms,overall survival at 2-year interval|overall survival at 5-year interval|overall survival at 10-year interval|disease-free survival at 2-year interval|disease-free survival at 5-year interval|disease-free survival at 10-year interval|distant metastasis-free survival at 2-year interval|distant metastasis-free survival at 5-year interval|distant metastasis-free survival at 10-year interval|locoregional control at 2-year interval|locoregional control at 5-year interval|locoregional control at 10-year interval,Adult|Older Adult,Other|Other,Neoadjuvant Radiotherapy/Chemoradiotherapy Followed by Surgery|Surgery Followed by Adjuvant Radiotherapy/Chemoradiotherapy,,,,Eye & ENT Hospital of Fudan University,OTHER,Eye & ENT Hospital of Fudan University,Fudan Eye & ENT Hospital,"Zhongshan Ophthalmic Center, Sun Yat-sen University|Peking University Third Hospital|Tianjin Medical University Eye Hospital|Peking University Eye Center",OTHER|OTHER|OTHER|OTHER,"The treatment for malignant lacrimal sac tumors is difficult and the prognosis is poor. The conventional strategy is surgical resection followed by adjuvant radiotherapy with or without concurrent chemotherapy. This approach has many drawbacks including positive surgical margins due to large tumor size, distant metastasis due to intraoperative squeeze, and implant exposure due to high doses of radiation. In previous research, the investigators innovatively adopted neoadjuvant radiotherapy (or chemoradiotherapy) and withdrew radiotherapy after surgery. Preoperative radiotherapy can effectively reduce the tumor size and encapsulate the tumor in a fibrotic cyst, and therefore enables en-bloc excision of the tumor and simultaneous orbital reconstruction. This multidisciplinary approach can reduce the risk of recurrence and metastasis, lower the dose of radiation, and avoid implant exposure after reconstruction.||In order to compare the long-term outcomes between neoadjuvant radiotherapy and conventional treatment approach, the investigators will prospectively recruit 94 patients with malignant lacrimal sac tumors and randomly assign these subjects into the study group (neoadjuvant radiotherapy, 47 cases) and the control group (conventional treatment, 47 cases). The primary outcomes include overall survival, disease-free survival, distant metastasis-free survival, and locoregional control at 2-year, 5-year and 10-year intervals. The secondary outcomes include ocular functions (visual acuity and diplopia, tear film stability and tear secretion, globe dystopia and motility, and corneal topography), acute and chronic radiation-related toxicity, cosmesis (medial canthal tendon dystopia and eyelid retraction), and assessment of quality of life."
171,NCT00195247,Phase 1,Interventional,Neoplasms,Primary purpose is to address the safety and tolerability of TTI-237. Patient will be assessed on an ongoing basis during their participation on the trial.,Adult|Older Adult,Drug,TTI-237,,,,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,,Wyeth is now a wholly owned subsidiary of Pfizer,,,"The purpose of this study is to evaluate the safety, tolerability, and maximum tolerated dose (MTD) of TTI-237 for the treatment of subjects with advanced malignant solid tumors."
172,NCT04275557,,Observational,Neoplasms|Pancreatic Cyst,Predictive value of CT Radiomic features vs conventional radiologic features|Development of Clinical Decision Making Models for Predicting IPMN Pathology|Radiogenomic Analyses,Adult|Older Adult,Other|Other|Other,Blood Sample collection|Tissue sample collection|Data collection,,,,H. Lee Moffitt Cancer Center and Research Institute,OTHER,,Moffitt Cancer Center,National Cancer Institute (NCI)|University of Florida|University of Miami,NIH|OTHER|OTHER,"The Florida Pancreas Collaborative wants to partner with individuals who are known to have, or are suspected to have a pancreatic lesion, tumor, cyst, mass, cancer, or pancreatitis and are undergoing diagnosis and treatment at a participating institution. The goals of this project are to build a large database of information obtained from blood, tissue, medical images, surveys and information from routine care to develop noninvasive diagnostic approaches that could be used as decision-making tools to effectively personalize clinical care."
173,NCT01737671,Early Phase 1,Interventional,Neoplasms|Brain Neoplasms,Neurological Deficits After Administration of Methotrexate into the Fourth Ventricle of the Brain,Child|Adult,Procedure|Drug|Drug,Ommaya Reservoir|Methotrexate|Leucovorin,Citrovorum|Wellcovorin,Leucovorin|Methotrexate,"Abortifacient Agents, Nonsteroidal|Abortifacient Agents|Reproductive Control Agents|Physiological Effects of Drugs|Antimetabolites, Antineoplastic|Antimetabolites|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Dermatologic Agents|Enzyme Inhibitors|Folic Acid Antagonists|Immunosuppressive Agents|Immunologic Factors|Antirheumatic Agents|Nucleic Acid Synthesis Inhibitors|Antidotes|Protective Agents|Vitamin B Complex|Vitamins|Micronutrients",M.D. Anderson Cancer Center,OTHER,,M.D. Anderson Cancer Center|M.D. Anderson Cancer Center,,,"The goal of this clinical research study is to learn if it is safe to receive methotrexate through the fourth ventricle of the brain in patients with brain tumors.||Methotrexate is designed to block cancer cells from dividing, which may slow or stop their growth and spread throughout the body. This may cause the cancer cells to die."
174,NCT00003476,Phase 2,Interventional,Brain Neoplasms,Number of Participants With Objective Response,Child|Adult,Drug,Antineoplaston therapy (Atengenal + Astugenal),A10 (Atengenal); AS2-1 (Astugenal),,,Burzynski Research Institute,OTHER,,Burzynski Research Institute,,,RATIONALE: Current therapies for children with primary malignant brain tumors provide limited benefit to the patient. The anti-cancer properties of Antineoplaston therapy suggest that it may prove beneficial in the treatment of children with primary malignant brain tumors.||PURPOSE: This study is being performed to determine the effects (good and bad) that Antineoplaston therapy has on children with primary malignant brain tumors.
175,NCT05727839,Phase 1,Interventional,Neoplasms|Skin Neoplasms,Dose limiting toxicity|Incidence of adverse events （Safety and Tolerability）,Adult|Older Adult,Drug,JCXH-211 Injection,Intratumoral injection,,,"Immorna Biotherapeutics, Inc.",INDUSTRY,,Sun Yat-sen University,,,": A Phase 1 Open-Label Study to Evaluate the Safety, Tolerability and Efficacy of JCXH-211 Intratumoral Injection in Patients with Malignant Solid Tumors"
